hora_utc,estacion,mm
2026-09-22 21:00,curinanco,4.4
2026-09-22 21:00,islateja,3.2
2026-09-22 21:00,las_lomas,2.1
2026-09-22 21:00,llancahue,2.6
2026-09-22 21:00,pichoy,2.4
2026-09-22 22:00,austral,2.4
2026-09-22 22:00,chaihuin,3.6
2026-09-22 22:00,corral,4.8
2026-09-22 22:00,corral_essal,5.8
2026-09-22 22:00,curinanco,2.3
2026-09-22 22:00,islateja,2.3
2026-09-22 22:00,las_lomas,1.9
2026-09-22 22:00,llancahue,2.0
2026-09-22 22:00,pichoy,1.0
2026-09-22 23:00,austral,3.5
2026-09-22 23:00,chaihuin,6.3
2026-09-22 23:00,corral,5.9
2026-09-22 23:00,corral_essal,7.0
2026-09-22 23:00,curinanco,2.4
2026-09-22 23:00,islateja,2.8
2026-09-22 23:00,las_lomas,2.5
2026-09-22 23:00,llancahue,2.8
2026-09-22 23:00,pichoy,2.8
2026-09-23 00:00,austral,3.5
2026-09-23 00:00,chaihuin,4.1
2026-09-23 00:00,corral,2.7
2026-09-23 00:00,corral_essal,6.1
2026-09-23 00:00,curinanco,2.4
2026-09-23 00:00,islateja,3.1
2026-09-23 00:00,las_lomas,2.9
2026-09-23 00:00,llancahue,1.8
2026-09-23 00:00,pichoy,2.2
2026-09-23 01:00,austral,1.2
2026-09-23 01:00,chaihuin,2.7
2026-09-23 01:00,corral,3.9
2026-09-23 01:00,corral_essal,6.9
2026-09-23 01:00,curinanco,3.0
2026-09-23 01:00,islateja,1.8
2026-09-23 01:00,las_lomas,1.7
2026-09-23 01:00,llancahue,0.7
2026-09-23 01:00,pichoy,1.6
2026-09-23 02:00,austral,3.4
2026-09-23 02:00,chaihuin,3.3
2026-09-23 02:00,corral,5.9
2026-09-23 02:00,corral_essal,7.3
2026-09-23 02:00,curinanco,2.4
2026-09-23 02:00,islateja,2.9
2026-09-23 02:00,las_lomas,2.1
2026-09-23 02:00,llancahue,1.7
2026-09-23 02:00,pichoy,1.4
2026-09-23 03:00,austral,5.1
2026-09-23 03:00,chaihuin,5.2
2026-09-23 03:00,corral,8.1
2026-09-23 03:00,corral_essal,11.3
2026-09-23 03:00,curinanco,3.1
2026-09-23 03:00,islateja,5.2
2026-09-23 03:00,las_lomas,2.6
2026-09-23 03:00,llancahue,2.9
2026-09-23 03:00,pichoy,2.6
2026-09-23 04:00,austral,4.8
2026-09-23 04:00,chaihuin,3.9
2026-09-23 04:00,corral,6.9
2026-09-23 04:00,corral_essal,14.5
2026-09-23 04:00,curinanco,4.2
2026-09-23 04:00,islateja,5.1
2026-09-23 04:00,las_lomas,2.3
2026-09-23 04:00,llancahue,2.8
2026-09-23 04:00,pichoy,1.8
2026-09-23 05:00,austral,6.0
2026-09-23 05:00,chaihuin,6.1
2026-09-23 05:00,corral,8.4
2026-09-23 05:00,corral_essal,14.7
